Yearly_price,Num_checks,Num_bedrooms,Area_sqft,Description
230000,NA,2,2936,"	Beautiful Type A in Palmera available December"
180000,1,3,2500,"	Private Pool - Spacious Type 3M Villa"
189999,NA,3,2800,"Awesome Villa-Type 3E-Al Reem 3-(006)"
170000,NA,3,2936,"Three bedroom Townhouse, Arabian Ranches"
240000,NA,3,3324,"	Beautiful large type 7 villa with garden in Saheel"
280000,1,2,3100,"Amazing 3 bedroom Villa in Savannah Arabian ranches"
190000,NA,0,2540,"	Unique|Alma vacant 3M quiet location"
190000,1,4,3583,"	Type 2,3BHK + Maid Palma Arabian Ranches for Rent"
260000,1,3,3566,"	3Br + M + Type A2 Villa @ Alvorada Arabian Ranches"
220000,NA,4,3500,"	Ready To Move In Spacious Bright Comfortable Well Maintained,Type 2--CASA!! 3B/R+Maids for RENT in Arabian Ranches ONLY AED 200,000!!"
195000,NA,3,3168,"Delightful Villa in Palma, Arabian Ranches"
230000,1,4,3168,"Brand New - Community View - Shared Swimming Pool"
250000,NA,3,3687,"Rare type 6 in Saheel with landscaped garden"
275000,NA,4,4000,"Private pool 4 bed -Bigger plot -Al Reem 3-(006)"
210000,NA,3,2800,"mmaculate 3 bedroom type 2E villa, Alma"
220000,NA,4,2940,"Palmera 2 family villa type A with landscaped garden"
195000,NA,0,2627,Alma-2M/3BR+Maids+Study
230000,1,4,3552,"	Savannah 3 Bedroom Villa for Rent in Dubai"
155000,2,4,2746,"	Wonderful 3br villa available for rent with landscape"
190000,NA,3,2788,"Family villa in Al Reem, Arabian Ranches"
195000,NA,2,3252,"	3 bed with Maids, Casa, Arabian Ranches 2"
265000,NA,0,2500,"	Back to Back View-Type 3M-Alvorada 4-(005)"
220000,NA,3,3167,"	Stunning family villa in Saheel - Type 9 - 3 bed"
165000,NA,3,2540,"	Well Maintained Al Reem Villa, Arabian Ranches"
190000,NA,2,2540,"	Well Presented 3 Bed + Study (3M) in Alma 1"
235000,NA,3,2936,"	Lovely Villa in Palmera"
210000,NA,3,2788,"	3 beds plus maids on the lake"
160000,NA,3,2540,"	Delightful Villa in Al Reem, Arabian Ranches"
170000,NA,2,2724,"Three Bedroom Plus Maids, large garden, Al Reem"
220000,NA,3,2788,"	Beautiful Upgraded Villa with a pool, Al Reem"
450000,NA,3,11830,"	Lovely Villa in Golf Homes, Arabian Ranches"
215000,1,3,2788,"Lovely Villa in Alma, Arabian Ranches"
185000,NA,3,2540,"Beautiful Villa in Alma, Arabian Ranches"
200000,NA,3,2998,"	Lake view Villa in Al Reem, Arabian Ranches"
250000,NA,3,3216,"	Lovely Villa in saheel with large plot, fully landscaped"
200000,NA,3,2627,"Al Reem, backs onto pool and tennis, Arabian Ranches"
180000,NA,3,2540,"Lovely Villa in Al Reem, Arabian Ranches"
200000,NA,3,2788,"	Lake view family villa in Al Reem, Arabian Ranches"
250000,1,3,3687,"	Beautiful Type 6 3 bedroom villa in Saheel for Rent"
